f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;is_valid
13000.0;9;1444.4444444444443;826.1169020196047;400.0;2600.0;3790.0;6;631.6666666666666;81.5304987242334;740.0;2691666.666666274;8266666.666666512;299074.07407403045;918518.5185185014;3.071207430340947;3.900000000000001;3.032;1660.0;184.44444444444446;82.61169020196047;0.5625061178905523;1
13000.0;9;1444.4444444444443;826.1169020196047;400.0;2600.0;3790.0;6;631.6666666666666;81.5304987242334;740.0;2691666.666666274;8266666.666666512;299074.07407403045;918518.5185185014;3.071207430340947;3.900000000000001;3.032;1660.0;184.44444444444446;82.61169020196047;0.5625061178905523;1
29900.0;9;3322.222222222222;2176.5302549280777;400.0;6100.0;2945.0;6;490.8333333333333;99.22267326014195;635.0;48846339.75951828;51038024.08155224;5427371.08439092;5670891.564616915;1.0448689570769094;8.969999999999999;2.3560000000000003;3350.0;372.22222222222223;217.65302549280779;0.3932395047820921;1
37100.0;9;4122.222222222223;2657.391276244755;400.0;9500.0;2585.0;6;430.8333333333333;100.76443927409225;605.0;112420723.31146345;60206348.311462946;12491191.479051493;6689594.256829216;0.5355449292445866;11.129999999999999;2.0680000000000005;4070.0;452.22222222222223;265.7391276244755;0.33427789841476113;1
22700.0;9;2522.222222222222;1536.0684141142626;400.0;6000.0;3305.0;6;550.8333333333334;103.33669349375478;670.0;12706378.47222192;32559253.47222195;1411819.83024688;3617694.830246883;2.562433784213294;6.8100000000000005;2.644;2630.0;292.22222222222223;153.60684141142627;0.4302022145620295;1
28100.0;9;3122.222222222222;1625.3394707142654;1200.0;6800.0;3035.0;6;505.8333333333333;138.1851616089401;740.0;37081951.64604287;42641326.646042705;4120216.8495603185;4737925.182893634;1.149921316252865;8.430000000000001;2.4280000000000004;3170.0;352.22222222222223;162.53394707142652;0.35900293750002965;1
23300.0;9;2588.8888888888887;1695.3822541404406;400.0;5600.0;3275.0;6;545.8333333333334;65.41003151063468;630.0;19703347.410567626;32148600.07014255;2189260.823396403;3572066.674460283;1.6316313873093502;6.99;2.6200000000000006;2690.0;298.8888888888889;169.53822541404404;0.44305172354805794;1
42000.0;9;4666.666666666667;1655.294535724685;2700.0;7200.0;2340.0;6;390.0;117.22485515737124;510.0;141722246.16858244;43418773.94635987;15746916.240953604;4824308.216262208;0.3063652681224941;12.600000000000001;1.8720000000000003;4560.0;506.6666666666667;165.52945357246847;0.25025008952399413;1
24300.0;9;2700.0;1812.916618784953;400.0;6000.0;3225.0;6;537.5;86.63861725581728;705.0;52370218.74999985;18469593.749999836;5818913.194444428;2052177.083333315;0.35267360325852926;7.290000000000001;2.58;2790.0;310.0;181.2916618784953;0.4380674718277733;1
26700.0;9;2966.6666666666665;2050.4741998972936;400.0;7400.0;3105.0;6;517.5;105.97759197113322;685.0;27336133.860508516;46294495.34699516;3037348.2067231685;5143832.816332796;1.6935275333091295;8.01;2.4840000000000004;3030.0;336.6666666666667;205.04741998972932;0.4123925210420014;1
33200.0;9;3688.8888888888887;1705.8360247133592;400.0;5800.0;2780.0;6;463.3333333333333;71.27801593447698;600.0;83639621.93398368;27663996.933983773;9293291.325998187;3073777.4371093083;0.33075229531547645;9.96;2.224;3680.0;408.8888888888889;170.58360247133592;0.332664867024171;1
36300.0;9;4033.3333333333335;2090.1887208787844;400.0;7700.0;2625.0;6;437.5;158.50210303546976;670.0;78222589.22097346;58521873.69709001;8691398.802330384;6502430.410787779;0.7481454434059925;10.889999999999997;2.1;3990.0;443.3333333333333;209.01887208787846;0.3261266080665066;1
32900.0;9;3655.5555555555557;1708.8729951579921;400.0;6100.0;2795.0;6;465.8333333333333;86.76676911250195;570.0;63454922.97096133;35891702.342545524;7050546.996773481;3987966.926949503;0.56562518181561;9.870000000000001;2.236;3650.0;405.55555555555554;170.8872995157992;0.33561567080643656;1
28000.0;9;3111.1111111111113;1934.1632956710216;400.0;7700.0;3040.0;6;506.6666666666667;139.75176405167684;740.0;45108964.427088976;38052600.790725484;5012107.158565442;4228066.754525054;0.843570702054823;8.4;2.4320000000000004;3160.0;351.1111111111111;193.41632956710214;0.3826030759537941;1
39200.0;9;4355.555555555556;2277.9674717759112;400.0;7600.0;2480.0;6;413.3333333333333;142.0289485359313;630.0;73587730.81102799;78627259.49955302;8176414.534558665;8736362.166617002;1.0684832734069007;11.76;1.9840000000000004;4280.0;475.55555555555554;227.7967471775911;0.3081601436718481;1
28600.0;9;3177.777777777778;1433.5486487716632;900.0;5200.0;3010.0;6;501.6666666666667;65.1067499487487;625.0;42469836.82983641;36184836.82983652;4718870.7588707125;4020537.4255373906;0.8520126172091982;8.58;2.4080000000000004;3220.0;357.77777777777777;143.35486487716634;0.3596882833192089;1
25500.0;9;2833.3333333333335;1811.6904322268256;400.0;5900.0;3165.0;6;527.5;68.48053251350586;625.0;40818215.96531133;29193840.965311352;4535357.329479037;3243760.1072568167;0.7152159954791077;7.65;2.5320000000000005;2910.0;323.3333333333333;181.16904322268255;0.42062731833486366;1
27100.0;9;3011.1111111111113;1878.2050795873315;400.0;6700.0;3085.0;6;514.1666666666666;62.009183907618784;580.0;60232975.85349055;22997695.6810771;6692552.8726100605;2555299.5201196778;0.3818123769447524;8.129999999999999;2.4680000000000004;3070.0;341.1111111111111;187.82050795873315;0.39004424572552276;1
27100.0;9;3011.1111111111113;2239.7640969255094;400.0;7700.0;3085.0;6;514.1666666666666;108.29807118421927;675.0;39265803.57142802;54073035.71428555;4362867.063492003;6008115.079365062;1.377102486032709;8.13;2.4680000000000004;3070.0;341.1111111111111;223.97640969255093;0.4217023096741574;1
29900.0;9;3322.222222222222;2036.2153224809435;400.0;6400.0;2945.0;6;490.8333333333333;114.06930154759235;625.0;31432003.3753224;62467977.21253203;3492444.819480267;6940886.356948003;1.9874004360019986;8.97;2.3560000000000003;3350.0;372.22222222222223;203.62153224809433;0.39003251779725256;1
33300.0;9;3700.0;1839.6859635395506;400.0;6200.0;2775.0;6;462.5;134.1252524073425;545.0;48762243.354180045;64149710.45944333;5418027.039353338;7127745.6066048145;1.3155610990556328;9.989999999999998;2.22;3690.0;410.0;183.96859635395506;0.33452588808937445;1
21700.0;9;2411.1111111111113;757.8396846657748;1000.0;3400.0;3355.0;6;559.1666666666666;57.837175664868774;670.0;14686384.366245905;14994509.366246175;1631820.485138434;1666056.596249575;1.020980317028093;6.51;2.684;2530.0;281.1111111111111;75.78396846657748;0.4045449169310506;1
29800.0;9;3311.1111111111113;2063.13916396266;400.0;7100.0;2950.0;6;491.6666666666667;89.473770209797;680.0;82196221.2860491;24020407.025485955;9132913.476227678;2668934.113942884;0.2922324974270181;8.94;2.3600000000000003;3340.0;371.1111111111111;206.313916396266;0.3871739081297059;1
27300.0;9;3033.3333333333335;1016.5300454651269;1400.0;4900.0;3075.0;6;512.5;53.20949163448191;585.0;34691622.301619165;21535997.301619433;3854624.700179907;2392888.589068826;0.620783805218999;8.19;2.4600000000000004;3090.0;343.3333333333333;101.6530045465127;0.3461061150144181;1
32500.0;9;3611.1111111111113;1636.0144283827522;400.0;6400.0;2815.0;6;469.1666666666667;84.52892338654793;610.0;68000225.9103924;30469380.322157234;7555580.656710267;3385486.702461915;0.44807763377592885;9.75;2.2520000000000002;3610.0;401.1111111111111;163.60144283827523;0.3321519031459646;1
26300.0;9;2922.222222222222;1957.7639046046484;400.0;7200.0;3125.0;6;520.8333333333334;148.13891753650992;650.0;9425957.804457258;77186225.6616002;1047328.6449396954;8576247.295733355;8.188687798400826;7.889999999999999;2.5;2990.0;332.22222222222223;195.77639046046485;0.4156178967416312;1
28300.0;9;3144.4444444444443;1268.5171668011183;400.0;5100.0;3025.0;6;504.1666666666667;103.89965779004707;690.0;27263759.5059632;31130828.762719773;3029306.611773689;3458980.97363553;1.1418391787057378;8.49;2.4200000000000004;3190.0;354.44444444444446;126.8517166801118;0.3557778473482446;1
32400.0;9;3600.0;2039.607805437114;1400.0;8100.0;2820.0;6;470.0;133.35416503931677;640.0;41494245.41219628;66045567.20500381;4610471.712466253;7338396.356111535;1.5916801606805757;9.72;2.2560000000000002;3600.0;400.0;203.9607805437114;0.3363511806542647;1
28600.0;9;3177.777777777778;1249.6913199113326;1600.0;5800.0;3010.0;6;501.6666666666667;103.86957633921922;710.0;39775445.497031435;38930445.49703145;4419493.944114604;4325605.055225717;0.9787557376305678;8.58;2.4080000000000004;3220.0;357.77777777777777;124.96913199113325;0.338529733395837;1
