f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;is_valid
13000.0;9;1444.4444444444443;826.1169020196047;400.0;2600.0;3790.0;6;631.6666666666666;81.5304987242334;740.0;2691666.666666274;8266666.666666512;299074.07407403045;918518.5185185014;3.071207430340947;3.900000000000001;3.032;1660.0;184.44444444444446;82.61169020196047;0.5625061178905523;1
13000.0;9;1444.4444444444443;826.1169020196047;400.0;2600.0;3790.0;6;631.6666666666666;81.5304987242334;740.0;2691666.666666274;8266666.666666512;299074.07407403045;918518.5185185014;3.071207430340947;3.900000000000001;3.032;1660.0;184.44444444444446;82.61169020196047;0.5625061178905523;1
22800.0;9;2533.3333333333335;1226.5579661982733;400.0;4500.0;3300.0;6;550.0;115.75836902790225;695.0;11518315.286798846;25875537.509021483;1279812.8096443163;2875059.723224609;2.2464689379251026;6.840000000000001;2.6400000000000006;2640.0;293.3333333333333;122.65579661982733;0.4136021628655072;1
21000.0;9;2333.3333333333335;1436.0439485692011;400.0;4500.0;3390.0;6;565.0;80.25999418556337;690.0;16809097.701149307;25195347.701149236;1867677.522349923;2799483.0779054705;1.4989113722282978;6.299999999999999;2.712;2460.0;273.3333333333333;143.6043948569201;0.4676799109390426;1
23500.0;9;2611.1111111111113;2002.467613523344;400.0;6600.0;3265.0;6;544.1666666666666;119.3879065157867;640.0;16637696.969696483;46078700.7575753;1848632.9966329425;5119855.639730589;2.769536002579082;7.050000000000001;2.612;2710.0;301.1111111111111;200.24676135233437;0.4527342980106606;1
30700.0;9;3411.1111111111113;1990.7812226719464;400.0;6900.0;2905.0;6;484.1666666666667;157.51763569694523;595.0;39118536.024971575;67062931.516775854;4346504.0027746195;7451436.835197317;1.7143517710879004;9.21;2.3240000000000003;3430.0;381.1111111111111;199.07812226719463;0.3678414349640941;1
32900.0;9;3655.5555555555557;1787.0591056015971;1400.0;6900.0;2795.0;6;465.8333333333333;175.91230454089586;740.0;43350824.86412589;68343686.70623118;4816758.31823621;7593742.967359019;1.5765256352200954;9.87;2.236;3650.0;405.55555555555554;178.7059105601597;0.3227475154644834;1
24300.0;9;2700.0;1421.2670403551895;400.0;4800.0;3225.0;6;537.5;82.5;680.0;31415450.701817434;19541492.368484467;3490605.6335352706;2171276.9298316073;0.6220344426684912;7.289999999999999;2.58;2790.0;310.0;142.12670403551894;0.40715729812779333;1
25700.0;9;2855.5555555555557;1685.962376745836;400.0;6500.0;3155.0;6;525.8333333333334;60.374985622266514;645.0;43192281.013256945;24135249.76325735;4799142.334806327;2681694.4181397054;0.5587861811662495;7.710000000000001;2.5240000000000005;2930.0;325.55555555555554;168.59623767458362;0.39957671517590837;1
34000.0;9;3777.777777777778;2278.2926247413034;400.0;8800.0;2740.0;6;456.6666666666667;113.52924243950935;590.0;56641733.581458434;71815597.21782231;6293525.953495381;7979510.801980257;1.2678919354497125;10.200000000000001;2.192;3760.0;417.77777777777777;227.82926247413036;0.34375600186978256;1
25800.0;9;2866.6666666666665;1254.325848148452;400.0;4900.0;3150.0;6;525.0;88.97565210026093;660.0;32352975.765305657;23846139.030612066;3594775.085033962;2649571.003401341;0.7370616911283919;7.739999999999998;2.5200000000000005;2940.0;326.6666666666667;125.4325848148452;0.37837210731709126;1
